Step 73 | Loss: 5.627634525299072 | Time: 2.7758750915527344 | Tokens/s: 188873.05181542962 | LR: 0.0005999806250358817
Step 74 | Loss: 5.676304340362549 | Time: 2.7770798206329346 | Tokens/s: 188791.11651911668 | LR: 0.0005999795918963785
Step 75 | Loss: 5.665709972381592 | Time: 2.7785329818725586 | Tokens/s: 188692.37954723233 | LR: 0.0005999785319234525
Step 76 | Loss: 5.605470180511475 | Time: 2.7755656242370605 | Tokens/s: 188894.11059920976 | LR: 0.000599977445117209
Step 77 | Loss: 5.6685895919799805 | Time: 2.7780344486236572 | Tokens/s: 188726.24141135183 | LR: 0.0005999763314777564
Step 78 | Loss: 5.623872756958008 | Time: 2.779010057449341 | Tokens/s: 188659.98652815504 | LR: 0.0005999751910052049
Step 79 | Loss: 5.61225700378418 | Time: 2.779003620147705 | Tokens/s: 188660.42354134604 | LR: 0.0005999740236996682
Step 80 | Loss: 5.629485130310059 | Time: 2.7770771980285645 | Tokens/s: 188791.2948088695 | LR: 0.0005999728295612622
Step 81 | Loss: 5.633075714111328 | Time: 2.7792530059814453 | Tokens/s: 188643.49480656825 | LR: 0.0005999716085901055
Step 82 | Loss: 5.580661296844482 | Time: 2.779296636581421 | Tokens/s: 188640.53339944404 | LR: 0.0005999703607863197
Step 83 | Loss: 5.5747456550598145 | Time: 2.779210329055786 | Tokens/s: 188646.39157343752 | LR: 0.0005999690861500286
Step 84 | Loss: 5.61720085144043 | Time: 2.77980899810791 | Tokens/s: 188605.76404956565 | LR: 0.000599967784681359
Step 85 | Loss: 5.58600378036499 | Time: 2.7809205055236816 | Tokens/s: 188530.38012363826 | LR: 0.0005999664563804403
Step 86 | Loss: 5.5787353515625 | Time: 2.7821598052978516 | Tokens/s: 188446.40016782607 | LR: 0.0005999651012474042
Step 87 | Loss: 5.565476894378662 | Time: 2.7816357612609863 | Tokens/s: 188481.90237614966 | LR: 0.0005999637192823858
Step 88 | Loss: 5.65661096572876 | Time: 2.77915096282959 | Tokens/s: 188650.42130212195 | LR: 0.0005999623104855222
Step 89 | Loss: 5.611227035522461 | Time: 2.7807419300079346 | Tokens/s: 188542.4872916934 | LR: 0.0005999608748569535
Step 90 | Loss: 5.590227127075195 | Time: 2.781064987182617 | Tokens/s: 188520.58560887305 | LR: 0.0005999594123968224
Step 91 | Loss: 5.587369918823242 | Time: 2.7794337272644043 | Tokens/s: 188631.22903672137 | LR: 0.0005999579231052742
Step 92 | Loss: 5.587409496307373 | Time: 2.7806501388549805 | Tokens/s: 188548.71120747752 | LR: 0.0005999564069824571
Step 93 | Loss: 5.535733699798584 | Time: 2.779857635498047 | Tokens/s: 188602.4641352064 | LR: 0.0005999548640285215
Step 94 | Loss: 5.544899940490723 | Time: 2.7816102504730225 | Tokens/s: 188483.63098706695 | LR: 0.0005999532942436211
Step 95 | Loss: 5.552566051483154 | Time: 2.7811472415924072 | Tokens/s: 188515.00997833087 | LR: 0.0005999516976279116
Step 96 | Loss: 5.546283721923828 | Time: 2.7836599349975586 | Tokens/s: 188344.84536289444 | LR: 0.0005999500741815517
Step 97 | Loss: 5.558406352996826 | Time: 2.7799394130706787 | Tokens/s: 188596.91601007932 | LR: 0.0005999484239047029
Step 98 | Loss: 5.532171726226807 | Time: 2.7812399864196777 | Tokens/s: 188508.7236484479 | LR: 0.0005999467467975293
Step 99 | Loss: 5.541432857513428 | Time: 2.781843662261963 | Tokens/s: 188467.816186943 | LR: 0.0005999450428601975
Step 100 | Loss: 5.560739040374756 | Time: 2.783938407897949 | Tokens/s: 188326.0055296521 | LR: 0.0005999433120928768
Step 101 | Loss: 5.520273685455322 | Time: 2.782758951187134 | Tokens/s: 188405.82644656918 | LR: 0.0005999415544957391
Step 102 | Loss: 5.554220199584961 | Time: 2.78302264213562 | Tokens/s: 188387.97502476475 | LR: 0.0005999397700689594
Step 103 | Loss: 5.49525260925293 | Time: 2.782837152481079 | Tokens/s: 188400.53200114975 | LR: 0.000599937958812715
Step 104 | Loss: 5.518277168273926 | Time: 2.7825939655303955 | Tokens/s: 188416.9974112858 | LR: 0.0005999361207271858
Step 105 | Loss: 5.532475471496582 | Time: 108.43334603309631 | Tokens/s: 4835.117785998926 | LR: 0.0005999342558125544
Step 106 | Loss: 5.535565376281738 | Time: 2.751422882080078 | Tokens/s: 190551.588203569 | LR: 0.0005999323640690061
Step 107 | Loss: 5.496038913726807 | Time: 2.755990743637085 | Tokens/s: 190235.76229726244 | LR: 0.0005999304454967294
Step 108 | Loss: 5.4684553146362305 | Time: 2.7621848583221436 | Tokens/s: 189809.16444472602 | LR: 0.0005999285000959146
Step 109 | Loss: 5.5171799659729 | Time: 2.7650368213653564 | Tokens/s: 189613.38812880986 | LR: 0.0005999265278667551
Step 110 | Loss: 5.535995960235596 | Time: 2.7660462856292725 | Tokens/s: 189544.18901949975 | LR: 0.0005999245288094467
Step 111 | Loss: 5.469803810119629 | Time: 2.769284725189209 | Tokens/s: 189322.5334437861 | LR: 0.0005999225029241888
Step 112 | Loss: 5.5039520263671875 | Time: 2.770211935043335 | Tokens/s: 189259.16583050115 | LR: 0.000599920450211182
Step 113 | Loss: 5.465969085693359 | Time: 2.7950172424316406 | Tokens/s: 187579.52260211247 | LR: 0.0005999183706706305
Step 114 | Loss: 5.432586669921875 | Time: 2.7744176387786865 | Tokens/s: 188972.27031428274 | LR: 0.0005999162643027414
Step 115 | Loss: 5.496570587158203 | Time: 2.773165225982666 | Tokens/s: 189057.61369275048 | LR: 0.0005999141311077236
Step 116 | Loss: 5.404214382171631 | Time: 2.7748429775238037 | Tokens/s: 188943.3039082668 | LR: 0.0005999119710857893
Step 117 | Loss: 5.430594444274902 | Time: 2.7738213539123535 | Tokens/s: 189012.89344409824 | LR: 0.0005999097842371531
Step 118 | Loss: 5.41903829574585 | Time: 2.7756576538085938 | Tokens/s: 188887.8476351732 | LR: 0.0005999075705620325
Step 119 | Loss: 5.460184097290039 | Time: 2.7750418186187744 | Tokens/s: 188929.76548402238 | LR: 0.0005999053300606474
Step 120 | Loss: 5.458602428436279 | Time: 2.7769711017608643 | Tokens/s: 188798.50772215507 | LR: 0.0005999030627332205
Step 121 | Loss: 5.424473762512207 | Time: 2.7775063514709473 | Tokens/s: 188762.1246022861 | LR: 0.000599900768579977
Step 122 | Loss: 5.363699436187744 | Time: 2.7787957191467285 | Tokens/s: 188674.5385375038 | LR: 0.0005998984476011454
Step 123 | Loss: 5.386099338531494 | Time: 2.7766034603118896 | Tokens/s: 188823.50594676126 | LR: 0.0005998960997969558
Step 124 | Loss: 5.453073501586914 | Time: 2.779478073120117 | Tokens/s: 188628.21947411797 | LR: 0.0005998937251676419
Step 125 | Loss: 5.413342475891113 | Time: 2.777926445007324 | Tokens/s: 188733.57894061075 | LR: 0.0005998913237134397
Step 126 | Loss: 5.372756481170654 | Time: 2.7797586917877197 | Tokens/s: 188609.17731776915 | LR: 0.0005998888954345878
Step 127 | Loss: 5.384359836578369 | Time: 2.7789206504821777 | Tokens/s: 188666.05633702764 | LR: 0.0005998864403313274
Step 128 | Loss: 5.402907371520996 | Time: 2.7799296379089355 | Tokens/s: 188597.57917987078 | LR: 0.000599883958403903
Step 129 | Loss: 5.358947277069092 | Time: 2.7805356979370117 | Tokens/s: 188556.47147022418 | LR: 0.0005998814496525607
Step 130 | Loss: 5.407413482666016 | Time: 2.7808358669281006 | Tokens/s: 188536.1183071779 | LR: 0.0005998789140775501
Step 131 | Loss: 5.370781421661377 | Time: 2.7815468311309814 | Tokens/s: 188487.92841888758 | LR: 0.0005998763516791232
Step 132 | Loss: 5.3935675621032715 | Time: 2.7794010639190674 | Tokens/s: 188633.4458189826 | LR: 0.0005998737624575347
Step 133 | Loss: 5.354843616485596 | Time: 2.7790608406066895 | Tokens/s: 188656.53905063268 | LR: 0.0005998711464130421
Step 134 | Loss: 5.458530426025391 | Time: 2.7814605236053467 | Tokens/s: 188493.77711836607 | LR: 0.000599868503545905
Step 135 | Loss: 5.2884039878845215 | Time: 2.7816877365112305 | Tokens/s: 188478.3806314499 | LR: 0.0005998658338563865
Step 136 | Loss: 5.372579574584961 | Time: 2.781890630722046 | Tokens/s: 188464.6341628175 | LR: 0.0005998631373447518
Step 137 | Loss: 5.40573263168335 | Time: 2.7795584201812744 | Tokens/s: 188622.76690907165 | LR: 0.0005998604140112686
Step 138 | Loss: 5.391388416290283 | Time: 2.7797341346740723 | Tokens/s: 188610.84355517817 | LR: 0.0005998576638562082
Step 139 | Loss: 5.383265018463135 | Time: 2.783627510070801 | Tokens/s: 188347.03928711527 | LR: 0.0005998548868798434
Checkpoint saved at step 140
Step 140 | Loss: 5.346924304962158 | Time: 2.787616491317749 | Tokens/s: 188077.52129209173 | LR: 0.0005998520830824503
Step 141 | Loss: 5.401758193969727 | Time: 2.7683234214782715 | Tokens/s: 189388.2759262401 | LR: 0.0005998492524643079
Step 142 | Loss: 5.36105489730835 | Time: 2.77203631401062 | Tokens/s: 189134.60741841904 | LR: 0.0005998463950256971
Step 143 | Loss: 5.3591413497924805 | Time: 2.7760515213012695 | Tokens/s: 188861.04813870345 | LR: 0.0005998435107669022
Step 144 | Loss: 5.326362133026123 | Time: 2.7757010459899902 | Tokens/s: 188884.89477547674 | LR: 0.0005998405996882096
Step 145 | Loss: 5.40029239654541 | Time: 2.7761547565460205 | Tokens/s: 188854.02507326283 | LR: 0.0005998376617899089
Step 146 | Loss: 5.299137115478516 | Time: 2.7765069007873535 | Tokens/s: 188830.07272602996 | LR: 0.0005998346970722921
Step 147 | Loss: 5.299376487731934 | Time: 2.777928113937378 | Tokens/s: 188733.46555281628 | LR: 0.0005998317055356537
Step 148 | Loss: 5.2368083000183105 | Time: 2.779118299484253 | Tokens/s: 188652.63853550138 | LR: 0.0005998286871802911
Step 149 | Loss: 5.360795974731445 | Time: 108.97943687438965 | Tokens/s: 4810.889237795361 | LR: 0.0005998256420065042
Step 150 | Loss: 5.301661968231201 | Time: 2.7553915977478027 | Tokens/s: 190277.12809625376 | LR: 0.0005998225700145959
Step 151 | Loss: 5.311866760253906 | Time: 2.7527081966400146 | Tokens/s: 190462.61446816323 | LR: 0.0005998194712048713
Step 152 | Loss: 5.29437780380249 | Time: 2.760852575302124 | Tokens/s: 189900.7591677098 | LR: 0.0005998163455776385
Step 153 | Loss: 5.325721740722656 | Time: 2.7597291469573975 | Tokens/s: 189978.06381761332 | LR: 0.000599813193133208
Step 154 | Loss: 5.289830684661865 | Time: 2.7613346576690674 | Tokens/s: 189867.6057043258 | LR: 0.0005998100138718935
Step 155 | Loss: 5.2580790519714355 | Time: 2.7620718479156494 | Tokens/s: 189816.93050296465 | LR: 0.0005998068077940105
Step 156 | Loss: 5.271740436553955 | Time: 2.7651796340942383 | Tokens/s: 189603.59520069143 | LR: 0.000599803574899878
Step 157 | Loss: 5.322897911071777 | Time: 2.7704269886016846 | Tokens/s: 189244.4746449079 | LR: 0.0005998003151898173
Step 158 | Loss: 5.282260417938232 | Time: 2.77018404006958 | Tokens/s: 189261.0716170436 | LR: 0.0005997970286641522
Step 159 | Loss: 5.259300231933594 | Time: 2.772355318069458 | Tokens/s: 189112.84444054967 | LR: 0.0005997937153232095
Step 160 | Loss: 5.250104904174805 | Time: 2.7703542709350586 | Tokens/s: 189249.4420300407 | LR: 0.0005997903751673184
Step 161 | Loss: 5.258151054382324 | Time: 2.7717275619506836 | Tokens/s: 189155.67575877375 | LR: 0.0005997870081968109
Step 162 | Loss: 5.283141136169434 | Time: 2.7722177505493164 | Tokens/s: 189122.2289072033 | LR: 0.0005997836144120217
Step 163 | Loss: 5.2795305252075195 | Time: 2.7757341861724854 | Tokens/s: 188882.6396316252 | LR: 0.0005997801938132882
Step 164 | Loss: 5.231151580810547 | Time: 2.773982286453247 | Tokens/s: 189001.92786390975 | LR: 0.0005997767464009504
Step 165 | Loss: 5.281289100646973 | Time: 2.7765982151031494 | Tokens/s: 188823.86264896556 | LR: 0.0005997732721753505
Step 166 | Loss: 5.309717178344727 | Time: 2.7748892307281494 | Tokens/s: 188940.1545093111 | LR: 0.0005997697711368343
Step 167 | Loss: 5.294093608856201 | Time: 2.7756547927856445 | Tokens/s: 188888.0423324635 | LR: 0.0005997662432857495
Step 168 | Loss: 5.193583965301514 | Time: 2.7769410610198975 | Tokens/s: 188800.55013030878 | LR: 0.0005997626886224468
Step 169 | Loss: 5.260382652282715 | Time: 2.776829481124878 | Tokens/s: 188808.13660463368 | LR: 0.0005997591071472798
Step 170 | Loss: 5.203780651092529 | Time: 2.7785909175872803 | Tokens/s: 188688.4451689104 | LR: 0.0005997554988606039
Step 171 | Loss: 5.28594446182251 | Time: 2.778306484222412 | Tokens/s: 188707.76243634504 | LR: 0.000599751863762778
Step 172 | Loss: 5.216965675354004 | Time: 2.7789790630340576 | Tokens/s: 188662.09068433513 | LR: 0.0005997482018541636
Step 173 | Loss: 5.2973198890686035 | Time: 2.779493808746338 | Tokens/s: 188627.151587891 | LR: 0.0005997445131351244
Step 174 | Loss: 5.284368515014648 | Time: 2.778665781021118 | Tokens/s: 188683.36148269405 | LR: 0.0005997407976060271
Step 175 | Loss: 5.270035266876221 | Time: 2.779463291168213 | Tokens/s: 188629.22265098197 | LR: 0.000599737055267241
Step 176 | Loss: 5.270998954772949 | Time: 2.7804651260375977 | Tokens/s: 188561.25728401262 | LR: 0.0005997332861191382
Step 177 | Loss: 5.224859237670898 | Time: 2.782557725906372 | Tokens/s: 188419.45132664655 | LR: 0.0005997294901620928
Step 178 | Loss: 5.218792915344238 | Time: 2.7811696529388428 | Tokens/s: 188513.49087819527 | LR: 0.0005997256673964827
Step 179 | Loss: 5.184476852416992 | Time: 2.7818474769592285 | Tokens/s: 188467.5577444263 | LR: 0.0005997218178226875
Step 180 | Loss: 5.166144371032715 | Time: 2.7819082736968994 | Tokens/s: 188463.4389124806 | LR: 0.0005997179414410901
